"protein","ism_activator_ratio","ism_repressor_ratio","isa_activator_ratio","isa_repressor_ratio","ism_defined","isa_defined"
"ALX4",0.206349206349206,0.19047619047619,0.53968253968254,0.412698412698413,"unknown","activator"
"ARID3B",0.149532710280374,0.252336448598131,0.261682242990654,0.663551401869159,"unknown","repressor"
"ARID5A",0.141176470588235,0.211764705882353,0.458823529411765,0.4,"unknown","unknown"
"ASCL2",0.271334792122538,0.177242888402626,0.437636761487965,0.477024070021882,"unknown","unknown"
"ATF2",0.137184115523466,0.15884476534296,0.682310469314079,0.292418772563177,"unknown","activator"
"ATF3",0.185761957730812,0.200222469410456,0.838709677419355,0.152391546162403,"unknown","activator"
"ATF4",0.134453781512605,0.19327731092437,0.831932773109244,0.151260504201681,"unknown","activator"
"ATF6",0.20979020979021,0.0979020979020979,0.839160839160839,0.153846153846154,"unknown","activator"
"ATF7",0.198618307426598,0.224525043177893,0.856649395509499,0.139896373056995,"unknown","activator"
"BACH1",0.162162162162162,0.189189189189189,0.702702702702703,0.283783783783784,"unknown","activator"
"BACH1::MAFK",0.204968944099379,0.180124223602484,0.745341614906832,0.220496894409938,"unknown","activator"
"BACH2",0.171122994652406,0.171122994652406,0.74331550802139,0.229946524064171,"unknown","activator"
"BATF3",0.261682242990654,0.168224299065421,0.663551401869159,0.299065420560748,"unknown","activator"
"BCL6",0.154411764705882,0.125,0.639705882352941,0.301470588235294,"unknown","activator"
"BCL6B",0.222222222222222,0.155555555555556,0.666666666666667,0.244444444444444,"unknown","activator"
"BHLHA15",0.178743961352657,0.183574879227053,0.347826086956522,0.536231884057971,"unknown","repressor"
"BHLHE40",0.299065420560748,0.192523364485981,0.848598130841121,0.145794392523364,"unknown","activator"
"CEBPB",0.166666666666667,0.416666666666667,0.833333333333333,0.166666666666667,"unknown","activator"
"CEBPD",0.134328358208955,0.134328358208955,0.537313432835821,0.388059701492537,"unknown","activator"
"CEBPG",0.132352941176471,0.176470588235294,0.713235294117647,0.25,"unknown","activator"
"CLOCK",0.157303370786517,0.280898876404494,0.617977528089888,0.359550561797753,"unknown","activator"
"CREB1",0.106598984771574,0.142131979695431,0.629441624365482,0.32994923857868,"unknown","activator"
"CREB3",0.175324675324675,0.116883116883117,0.844155844155844,0.149350649350649,"unknown","activator"
"CREB3L1",0.215277777777778,0.0972222222222222,0.791666666666667,0.194444444444444,"unknown","activator"
"CREB3L2",0.104166666666667,0.1875,0.75,0.208333333333333,"unknown","activator"
"CREB3L4",0.184339314845024,0.174551386623165,0.851549755301794,0.143556280587276,"unknown","activator"
"CREB5",0.152719665271967,0.211297071129707,0.841004184100418,0.154811715481172,"unknown","activator"
"CREM",0.176339285714286,0.127232142857143,0.84375,0.149553571428571,"unknown","activator"
"CTCF",0.162081784386617,0.1182156133829,0.532342007434944,0.455018587360595,"unknown","activator"
"CTCFL",0.191760666993624,0.15203531142717,0.558607160372732,0.431584109857773,"unknown","activator"
"CUX1",0.25,0.0833333333333333,0.5,0,"unknown","unknown"
"DBP",0.2,0.133333333333333,0.733333333333333,0.155555555555556,"unknown","activator"
"DLX2",0.186046511627907,0.209302325581395,0.348837209302326,0.581395348837209,"unknown","repressor"
"DMBX1",0.105263157894737,0.192982456140351,0.421052631578947,0.491228070175439,"unknown","unknown"
"E2F1",0.165289256198347,0.132231404958678,0.735537190082645,0.231404958677686,"unknown","activator"
"E2F2",0.157303370786517,0.112359550561798,0.775280898876405,0.168539325842697,"unknown","activator"
"E2F3",0.21,0.12,0.74,0.24,"unknown","activator"
"E2F4",0.139784946236559,0.139784946236559,0.774193548387097,0.21505376344086,"unknown","activator"
"E2F6",0.14854517611026,0.153139356814701,0.677641653905054,0.310872894333844,"unknown","activator"
"E2F7",0.177514792899408,0.218934911242604,0.710059171597633,0.248520710059172,"unknown","activator"
"E2F8",0.15609756097561,0.195121951219512,0.697560975609756,0.292682926829268,"unknown","activator"
"EGR1",0.211538461538462,0.172511312217195,0.631504524886878,0.360011312217195,"unknown","activator"
"ELF1",0.194926568758344,0.180240320427236,0.835781041388518,0.142857142857143,"unknown","activator"
"ELF2",0.157996146435453,0.15606936416185,0.936416184971098,0.0597302504816956,"unknown","activator"
"ELF4",0.165573770491803,0.162295081967213,0.937704918032787,0.0573770491803279,"unknown","activator"
"ELK1",0.259259259259259,0.228607918263091,0.947637292464879,0.0485312899106003,"unknown","activator"
"ELK1::SREBF2",0.1280353200883,0.134657836644592,0.944812362030905,0.0551876379690949,"unknown","activator"
"ELK3",0.22029702970297,0.185643564356436,0.946782178217822,0.0495049504950495,"unknown","activator"
"ELK4",0.21492295214923,0.186536901865369,0.948094079480941,0.0454176804541768,"unknown","activator"
"ERF",0.27212020033389,0.2220367278798,0.946577629382304,0.0534223706176962,"unknown","activator"
"ERF::SREBF2",0.180232558139535,0.174418604651163,0.854651162790698,0.13953488372093,"unknown","activator"
"ESR2",0.148550724637681,0.134057971014493,0.532608695652174,0.391304347826087,"unknown","activator"
"ESRRA",0.101941747572816,0.111650485436893,0.567961165048544,0.378640776699029,"unknown","activator"
"ESRRB",0.161764705882353,0.125,0.544117647058823,0.345588235294118,"unknown","activator"
"ETS1",0.254854368932039,0.233009708737864,0.951456310679612,0.0485436893203883,"unknown","activator"
"ETS2",0.252252252252252,0.216216216216216,0.95045045045045,0.0472972972972973,"unknown","activator"
"ETV1",0.203915171288744,0.179445350734095,0.838499184339315,0.146818923327896,"unknown","activator"
"ETV2",0.2,0.185185185185185,0.951851851851852,0.0481481481481481,"unknown","activator"
"ETV3",0.27027027027027,0.221283783783784,0.949324324324324,0.0506756756756757,"unknown","activator"
"ETV4",0.263888888888889,0.233024691358025,0.947530864197531,0.0509259259259259,"unknown","activator"
"ETV5",0.268867924528302,0.231132075471698,0.94811320754717,0.050314465408805,"unknown","activator"
"ETV6",0.255813953488372,0.225718194254446,0.946648426812586,0.0519835841313269,"unknown","activator"
"FEV",0.177700348432056,0.14808362369338,0.945993031358885,0.0487804878048781,"unknown","activator"
"FOS",0.195774647887324,0.207042253521127,0.838028169014085,0.146478873239437,"unknown","activator"
"FOS::JUN",0.174013921113689,0.169373549883991,0.784222737819026,0.204176334106729,"unknown","activator"
"FOS::JUNB",0.178861788617886,0.195121951219512,0.829268292682927,0.146341463414634,"unknown","activator"
"FOS::JUND",0.15527950310559,0.130434782608696,0.745341614906832,0.204968944099379,"unknown","activator"
"FOSB::JUN",0.194690265486726,0.236725663716814,0.831858407079646,0.161504424778761,"unknown","activator"
"FOSB::JUNB",0.265923566878981,0.280254777070064,0.834394904458599,0.157643312101911,"unknown","activator"
"FOSL1",0.18796992481203,0.12781954887218,0.796992481203007,0.165413533834586,"unknown","activator"
"FOSL1::JUN",0.239457831325301,0.248493975903614,0.83433734939759,0.150602409638554,"unknown","activator"
"FOSL1::JUNB",0.196969696969697,0.136363636363636,0.742424242424242,0.204545454545455,"unknown","activator"
"FOSL1::JUND",0.266666666666667,0.27906976744186,0.835658914728682,0.153488372093023,"unknown","activator"
"FOSL2",0.211155378486056,0.183266932270916,0.776892430278884,0.187250996015936,"unknown","activator"
"FOSL2::JUN",0.202549575070822,0.218130311614731,0.822946175637394,0.161473087818697,"unknown","activator"
"FOSL2::JUNB",0.188405797101449,0.210144927536232,0.828985507246377,0.163768115942029,"unknown","activator"
"FOSL2::JUND",0.187766714082504,0.180654338549075,0.847795163584637,0.145092460881935,"unknown","activator"
"FOXA1",0.193548387096774,0.193548387096774,0.559139784946237,0.333333333333333,"unknown","activator"
"FOXA3",0.147286821705426,0.201550387596899,0.558139534883721,0.387596899224806,"unknown","activator"
"FOXH1",0.16,0.253333333333333,0.466666666666667,0.44,"unknown","unknown"
"FOXJ2::ELF1",0.19047619047619,0.181547619047619,0.80952380952381,0.145833333333333,"unknown","activator"
"FOXJ3",0.144,0.156,0.536,0.424,"unknown","activator"
"FOXK1",0.175757575757576,0.133333333333333,0.587878787878788,0.351515151515152,"unknown","activator"
"FOXK2",0.135483870967742,0.2,0.554838709677419,0.380645161290323,"unknown","activator"
"FOXL2",0.19047619047619,0.142857142857143,0.583333333333333,0.31547619047619,"unknown","activator"
"FOXO3",0.117647058823529,0.163398692810458,0.588235294117647,0.34640522875817,"unknown","activator"
"FOXP1",0.188405797101449,0.181159420289855,0.557971014492754,0.384057971014493,"unknown","activator"
"GABPA",0.202623906705539,0.169096209912536,0.838192419825073,0.142857142857143,"unknown","activator"
"GATA1",0.222222222222222,0.222222222222222,0.380952380952381,0.444444444444444,"unknown","unknown"
"GATA1::TAL1",0.164705882352941,0.123529411764706,0.441176470588235,0.505882352941176,"unknown","repressor"
"GATA2",0.151260504201681,0.210084033613445,0.361344537815126,0.504201680672269,"unknown","repressor"
"GFI1B",0.213592233009709,0.145631067961165,0.412621359223301,0.495145631067961,"unknown","unknown"
"GLI1",0.191823899371069,0.188679245283019,0.437106918238994,0.459119496855346,"unknown","unknown"
"GLIS2",0.17056856187291,0.193979933110368,0.505016722408027,0.474916387959866,"unknown","activator"
"GMEB1",0.161290322580645,0.225806451612903,0.838709677419355,0.129032258064516,"unknown","activator"
"GRHL1",0.108910891089109,0.138613861386139,0.584158415841584,0.306930693069307,"unknown","activator"
"HAND2",0.19,0.2,0.39,0.5,"unknown","unknown"
"HES1",0.21875,0.258928571428571,0.633928571428571,0.352678571428571,"unknown","activator"
"HES6",0.184782608695652,0.304347826086957,0.576086956521739,0.369565217391304,"unknown","activator"
"HES7",0.191489361702128,0.117021276595745,0.526595744680851,0.430851063829787,"unknown","activator"
"HEY1",0.296610169491525,0.296610169491525,0.567796610169492,0.38135593220339,"unknown","activator"
"HIC1",0.16,0.14,0.24,0.62,"unknown","repressor"
"HIC2",0.162921348314607,0.157303370786517,0.224719101123595,0.702247191011236,"unknown","repressor"
"HIF1A",0.277310924369748,0.243697478991597,0.663865546218487,0.319327731092437,"unknown","activator"
"HINFP",0.157894736842105,0.181578947368421,0.684210526315789,0.307894736842105,"unknown","activator"
"HMBOX1",0.25,0.28125,0.625,0.28125,"unknown","activator"
"HMX3",0.172413793103448,0.160919540229885,0.436781609195402,0.459770114942529,"unknown","unknown"
"HOXB2::ELK1",0.24390243902439,0.164634146341463,0.902439024390244,0.0792682926829268,"unknown","activator"
"HOXB3",0.232558139534884,0.209302325581395,0.325581395348837,0.488372093023256,"unknown","unknown"
"HOXB7",0.153846153846154,0.115384615384615,0.538461538461538,0.192307692307692,"unknown","activator"
"HOXB9",0.181818181818182,0.272727272727273,0.545454545454545,0.272727272727273,"unknown","activator"
"HOXC9",0.173913043478261,0.260869565217391,0.521739130434783,0.304347826086957,"unknown","activator"
"HSF1",0.117241379310345,0.117241379310345,0.606896551724138,0.317241379310345,"unknown","activator"
"HSF2",0.0783132530120482,0.144578313253012,0.578313253012048,0.355421686746988,"unknown","activator"
"HSF4",0.108974358974359,0.108974358974359,0.608974358974359,0.33974358974359,"unknown","activator"
"IKZF1",0.171284634760705,0.120906801007557,0.753148614609572,0.178841309823678,"unknown","activator"
"IRF1",0.168704156479218,0.139364303178484,0.650366748166259,0.251833740831296,"unknown","activator"
"IRF2",0.16412213740458,0.141221374045802,0.786259541984733,0.156488549618321,"unknown","activator"
"IRF3",0.123515439429929,0.140142517814727,0.783847980997625,0.182897862232779,"unknown","activator"
"IRF7",0.178571428571429,0.173469387755102,0.76530612244898,0.173469387755102,"unknown","activator"
"IRF9",0.170854271356784,0.185929648241206,0.723618090452261,0.226130653266332,"unknown","activator"
"JDP2",0.16236722306525,0.200303490136571,0.839150227617602,0.159332321699545,"unknown","activator"
"JUN",0.176848874598071,0.135048231511254,0.723472668810289,0.234726688102894,"unknown","activator"
"JUN::JUNB",0.168439716312057,0.223404255319149,0.813829787234043,0.177304964539007,"unknown","activator"
"JUNB",0.143801652892562,0.203305785123967,0.818181818181818,0.173553719008264,"unknown","activator"
"JUND",0.164179104477612,0.170149253731343,0.755223880597015,0.214925373134328,"unknown","activator"
"KLF1",0.202439570277529,0.163160250671441,0.67300805729633,0.319606087735004,"unknown","activator"
"KLF10",0.203080903104421,0.163217309501411,0.670155221072437,0.322906867356538,"unknown","activator"
"KLF11",0.237047756874096,0.185817655571635,0.69232995658466,0.298986975397974,"unknown","activator"
"KLF13",0.184568835098336,0.148260211800303,0.698940998487141,0.284417549167927,"unknown","activator"
"KLF15",0.232677293428757,0.189573845152895,0.688760572543917,0.303919973975277,"unknown","activator"
"KLF16",0.236765957446809,0.186723404255319,0.673191489361702,0.32,"unknown","activator"
"KLF3",0.230221518987342,0.188291139240506,0.664556962025316,0.323575949367089,"unknown","activator"
"KLF6",0.239498894620486,0.192336035372144,0.6551215917465,0.329403095062638,"unknown","activator"
"KLF9",0.136071428571429,0.129285714285714,0.560714285714286,0.393928571428571,"unknown","activator"
"LBX2",0.340909090909091,0.159090909090909,0.590909090909091,0.363636363636364,"unknown","activator"
"LEF1",0.160919540229885,0.160919540229885,0.597701149425287,0.32183908045977,"unknown","activator"
"LHX6",0.181818181818182,0.212121212121212,0.272727272727273,0.545454545454545,"unknown","repressor"
"LIN54",0.12396694214876,0.173553719008264,0.347107438016529,0.56198347107438,"unknown","repressor"
"MAFF",0.0956521739130435,0.0956521739130435,0.417391304347826,0.504347826086956,"unknown","repressor"
"MAFG",0.192567567567568,0.182432432432432,0.712837837837838,0.266891891891892,"unknown","activator"
"MAFG::NFE2L1",0.232558139534884,0.135658914728682,0.790697674418605,0.174418604651163,"unknown","activator"
"MAFK",0.204968944099379,0.167701863354037,0.704968944099379,0.260869565217391,"unknown","activator"
"MAX",0.180555555555556,0.291666666666667,0.680555555555556,0.3125,"unknown","activator"
"MAX::MYC",0.221674876847291,0.226600985221675,0.650246305418719,0.32512315270936,"unknown","activator"
"MAZ",0.212865002115954,0.176258992805755,0.528988573846805,0.448370715192552,"unknown","activator"
"MECOM",0.121212121212121,0.141414141414141,0.434343434343434,0.454545454545455,"unknown","unknown"
"MEF2A",0.127882599580713,0.132075471698113,0.358490566037736,0.545073375262054,"unknown","repressor"
"MEF2C",0.112903225806452,0.158986175115207,0.387096774193548,0.490783410138249,"unknown","unknown"
"MEF2D",0.135220125786164,0.138364779874214,0.311320754716981,0.569182389937107,"unknown","repressor"
"MEIS1",0.132530120481928,0.072289156626506,0.301204819277108,0.614457831325301,"unknown","repressor"
"MEIS2",0.139784946236559,0.161290322580645,0.258064516129032,0.602150537634409,"unknown","repressor"
"MITF",0.204347826086957,0.121739130434783,0.891304347826087,0.1,"unknown","activator"
"MLX",0.276807980049875,0.239401496259352,0.872817955112219,0.127182044887781,"unknown","activator"
"MLXIPL",0.295454545454545,0.227272727272727,0.875,0.125,"unknown","activator"
"MNT",0.184397163120567,0.297872340425532,0.602836879432624,0.368794326241135,"unknown","activator"
"MSANTD3",0.208530805687204,0.279620853080569,0.530805687203792,0.412322274881517,"unknown","activator"
"MTF1",0.165137614678899,0.155963302752294,0.559633027522936,0.385321100917431,"unknown","activator"
"MXI1",0.184873949579832,0.243697478991597,0.453781512605042,0.46218487394958,"unknown","unknown"
"MYB",0.242647058823529,0.25,0.566176470588235,0.367647058823529,"unknown","activator"
"MYBL2",0.142857142857143,0.0571428571428571,0.914285714285714,0.0857142857142857,"unknown","activator"
"MYC",0.194117647058824,0.188235294117647,0.667647058823529,0.314705882352941,"unknown","activator"
"MZF1",0.128491620111732,0.11731843575419,0.407821229050279,0.497206703910615,"unknown","unknown"
"NFAT5",0.119047619047619,0.0892857142857143,0.410714285714286,0.452380952380952,"unknown","unknown"
"NFATC1",0.12,0.125714285714286,0.445714285714286,0.428571428571429,"unknown","unknown"
"NFATC2",0.174757281553398,0.0922330097087379,0.490291262135922,0.436893203883495,"unknown","unknown"
"NFATC3",0.128205128205128,0.102564102564103,0.376068376068376,0.452991452991453,"unknown","unknown"
"NFATC4",0.202898550724638,0.181159420289855,0.521739130434783,0.333333333333333,"unknown","activator"
"NFE2",0.256410256410256,0.239316239316239,0.82051282051282,0.162393162393162,"unknown","activator"
"NFE2L2",0.212686567164179,0.149253731343284,0.764925373134328,0.201492537313433,"unknown","activator"
"NFIA",0.25974025974026,0.194805194805195,0.324675324675325,0.597402597402597,"unknown","repressor"
"NFIB",0.0886075949367089,0.146835443037975,0.531645569620253,0.437974683544304,"unknown","activator"
"NFIC",0.212707182320442,0.151933701657459,0.5,0.439226519337017,"unknown","unknown"
"NFIL3",0.1,0.08,0.44,0.44,"unknown","unknown"
"NFIX",0.171140939597315,0.157718120805369,0.51006711409396,0.463087248322148,"unknown","activator"
"NFKB1",0.138613861386139,0.0858085808580858,0.386138613861386,0.564356435643564,"unknown","repressor"
"NFKB2",0.162011173184358,0.131284916201117,0.349162011173184,0.600558659217877,"unknown","repressor"
"NFYA",0.269430051813472,0.196891191709845,0.821761658031088,0.166839378238342,"unknown","activator"
"NFYB",0.208173690932312,0.145593869731801,0.827586206896552,0.164750957854406,"unknown","activator"
"NFYC",0.265328874024526,0.190635451505017,0.833890746934225,0.153846153846154,"unknown","activator"
"NR1D1",0.146496815286624,0.165605095541401,0.515923566878981,0.426751592356688,"unknown","activator"
